# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
三番两次	san fan liang ci	22
三番五次	san fan wu ci	42
三百	san bai	2969
三百六十行	san bai liu shi hang	12
三百户	san bai hu	164
三皇五帝	san huang wu di	16
三相	san xiang	255
三福	san fu	121
三秋	san qiu	53
三秒	san miao	699
三秒钟	san miao zhong	214
三立	san li	1048
三级	san ji	2435
三级跳远	san ji tiao yuan	87
三线	san xian	891
三维	san wei	750
三维空间	san wei kong jian	143
三缄其口	san jian qi kou	8
三联	san lian	435
三联单	san lian dan	3
三胞	san bao	2
三胞胎	san bao tai	274
三脚架	san jiao jia	530
三船敏郎	san chuan min lang	53
三艘	san sou	491
三节	san jie	304
三花脸	san hua lian	6
三菱	san ling	1070
三萜	san tie	57
三藏	san zang	881
三藏朝	san zang chao	241
三藩市	san fan shi	177
三观	san guan	5612
三观正	san guan zheng	583
三角	san jiao	4050
三角债	san jiao zhai	43
三角函数	san jiao han shu	93
三角形	san jiao xing	1631
三角恋爱	san jiao lian ai	9
三角板	san jiao ban	4
三角洲	san jiao zhou	786
三角裤	san jiao ku	9
三角铁	san jiao tie	35
三言两语	san yan liang yu	121
三资企业	san zi qi ye	4
三足鼎立	san zu ding li	17
三轮	san lun	335
三轮儿	san lun er	42
三轮车	san lun che	69
三辑	san ji	129
三通	san tong	145
三遍	san bian	1712
三郎	san lang	1253
三部曲	san bu qu	1352
三里屯	san li tun	602
三里河	san li he	75
三重唱	san chong chang	51
三重奏	san chong zou	190
三长两短	san chang liang duan	15
三门峡市	san men xia shi	180
三队	san dui	173
三阳	san yang	95
三院	san yuan	507
三陪	san pei	33
三青团	san qing tuan	62
三项	san xiang	902
三顾茅庐	san gu mao lu	30
三餐	san can	1282
三鲜	san xian	249
上	shang	532784
上上	shang shang	16
上下	shang xia	4193
